Metal,Method,Energy1(meV),Energy2(meV),Energy3(meV),Energy4(meV),Energy5(meV),Energy6(meV),Energy7(meV),Energy8(meV)
Au,PBE,0.0,1124.4171499999993,648.1195500000467,1060.26111999995,1131.165289999899,744.0840899998875,941.1623099999815,980.8113199999298
Au,PBE-D2,0.0,1309.4087200001923,804.9150300000747,881.1545700000352,904.131340000049,327.51105000011194,674.2350199999692,702.990170000021
Au,PBE-D2-Ne,0.0,1229.7600899998997,761.2700099998619,947.8542800000014,1019.8019099998419,560.508499999969,799.0632699998059,835.5614099998547
Au,PBE-DDSC,0.0,1163.939930000197,647.4826800001665,952.5112200001331,1014.1243300001861,586.2909100001161,787.2946300001331,842.2466300000906
Au,PBE-D30,0.0,1232.6353500000096,679.5906900001683,828.4845200000746,855.3221300001042,340.51601000010123,630.892249999988,676.4144200001283
Au,PBE-D3,0.0,1231.7287900000338,669.5325999999113,943.6539099999663,1015.141359999916,536.9465799999489,760.8344299999317,815.8467900000232
Au,PBE-TS,0.0,1136.4507599998888,608.4039299998949,791.931409999961,925.5973300000733,530.4482799999732,692.9613099998733,740.743749999865
Au,PBE-TSHI,0.0,1215.4453199998443,681.7285899999206,1064.477689999876,1113.0642299999636,663.2513499998822,870.2304599999025,921.9325699998535
Au,PBE-D4,0.0,1207.9260900000008,663.732459999892,965.6563000000915,1038.0296000000726,574.5520600000873,794.1370999999435,846.805169999925
Au,PBE-MBDHI,0.0,1194.1440100001728,666.6278000000148,1030.1145299999916,1097.3536900000909,650.1931800000875,867.9461900001115,916.7737600000692
Au,PBE-MBDFI,0.0,1212.753659999862,666.223729999956,865.8198899997842,945.183439999937,481.79715999981454,688.8264399999571,763.9557999998488
Au,revPBE,0.0,995.9596099999999,614.2198399998051,1051.8249999997806,1122.2272699999394,843.9464199998383,1002.7297899998757,1023.9285099999051
Au,REVPBE-D30,0.0,1227.0669000001817,722.6895600001626,709.0198500000042,660.9411300000829,99.04219999998531,452.9748100001143,486.52468000000226
Au,revPBE-D3,0.0,1203.9489800001775,652.5686500001484,813.7989600002129,888.2212100002107,424.5655900001566,636.9795800001157,689.3373200000497
Au,revPBE-D4,0.0,1142.2514500000034,633.2313200000499,880.4612100000213,955.4849199998898,522.9717899999287,724.3703599999662,771.3467900000524
Au,PBEsol,0.0,1362.1568799999295,743.2636199998797,1194.050099999913,1259.8557799999526,699.5313699999315,972.4873299999217,1031.925709999996
Au,PBEsol-D3,0.0,1456.8980599999577,765.8621299999595,1098.9600999998856,1162.6089599999432,536.1310299999786,829.3702500000109,899.8613100000057
Au,PBEsol-D4,0.0,1410.1836900001672,753.6386599999787,1144.9652000001151,1208.9656200000718,613.0441300001621,896.544090000134,962.0033300000159
Au,vdW-DF,0.0,915.0964299999487,550.7532699999729,808.3942900000238,887.5981400000228,651.3075699999717,766.952090000018,809.9500600000056
Au,vdW-DF2,0.0,823.1133699999873,484.6725200000037,710.6888499999968,792.9919499999869,597.6793599999155,680.6852799999206,732.2394799999756
Au,optB86b-vdW,0.0,1242.4394799999163,678.9418299999852,990.9587199999805,1063.4184599999799,582.39887000002,803.8628099999414,873.8402499999438
Au,rev-vdW-DF2,0.0,1209.1549900000018,667.3083499999848,1000.4115799999909,1073.6265699999876,615.8441400000356,829.5096500000909,895.1632700000118
Au,R2SCAN,0.0,1333.4032200000365,747.2900000000209,1123.8942600000428,1208.4553900001538,730.9371500000452,960.6590600001255,1041.2780599999678
Au,R2SCAN-D3,0.0,1380.2820799999154,758.2999699998254,1076.2321600000178,1159.7203799999534,649.599409999837,889.2568199999005,975.3264599999056
Au,R2SCAN-D4,0.0,1363.0937800000993,753.4907500000827,1092.636640000137,1176.1288600000626,676.6349399999854,912.792920000129,997.1395800000664
Au,R2SCAN-RVV10,0.0,1381.1040199998388,757.6973299999281,1080.0953799998751,1163.5760699998627,644.8609699998542,886.2036900000021,975.7836599999337
Au,SCAN-rVV10,0.0,1565.3196199998547,866.7400099998304,1261.1669299999448,1357.645919999868,783.5286800000176,1046.8021499998486,1166.6392600000108
Au,PBE0,0.0,1175.2019200000632,708.1709799999771,1132.286860000022,1205.0470199999381,811.7164899999807,1056.7682500000046,1054.3523999999707
Au,PBE0-D30,0.0,1309.8351700000421,759.7936499998923,892.8104100000382,897.74639999996,341.10164999992776,716.2291899999218,720.3979199998685
Au,PBE0-D3,0.0,1290.8910000001015,731.7015500000252,1004.633369999965,1078.3347999999933,590.104429999883,862.8495200000543,876.4469400000507
Au,PBE0-D4,0.0,1255.4225899998528,723.9594999998644,1042.5327199998264,1116.0886199998004,653.0284199998277,918.5484099998575,928.0410799999572
Au,PBE0-TSHI,0.0,1260.2853700000196,738.9475299999049,1132.1801399999458,1185.583319999978,736.6034899998795,992.8368199998658,1002.2963300000356
Au,HSE06,0.0,1168.7387599999965,706.130900000062,1130.2333000001,1203.466070000104,814.125820000072,1057.4028600001384,1054.1926400001103
Au,HSE06-D4,0.0,1247.3231100000248,721.6781900001479,1042.89504999997,1116.6652900001282,659.5632200001091,922.7080600001045,931.0732300000382
Au,B3LYP,0.0,998.6610199998722,625.6003900000451,1067.2977699998683,1143.2780299999195,878.9997199999107,1057.4054100000012,1057.3399400000199
Au,B3LYP-D2,0.0,1257.7947199999926,845.3171400001338,816.6758700001537,825.5708000001505,295.7368500001394,683.7510800000928,668.4144000000742
Au,B3LYP-D2-Ne,0.0,1257.7947199999926,845.3171400001338,816.6758700001537,825.5708000001505,295.7368500001394,683.7510800000928,668.4144000000742
