Metal,Cluster,Method,Energy_1(meV/atom),Energy_2(meV/atom),Energy_3(meV/atom),Energy_4(meV/atom)
Ag,4,R2SCAN-D3,1230.9056375000011,1161.311792500001,1027.9448825000018,988.8891824999995
Ag,4,R2SCAN-D4,1227.4236075000003,1158.1802450000005,1025.437095000001,985.2418424999989
Ag,4,R2SCAN-RVV10,1256.4401674999992,1182.1964025000007,1044.3512824999991,1013.1822375000006
Ag,4,SCAN-rVV10,1191.7385725000004,1117.1226225000019,972.1751199999993,942.8475575000022
Ag,4,PBE0,1029.4372725,974.4368875000001,855.038255,795.1864899999999
Ag,4,PBE0-D30,1043.6815100000001,988.1067825,865.8249525000001,821.61364
Ag,4,PBE0-D3,1081.2010575,1018.7229375,889.6700625,850.7209025
Ag,4,PBE0-D4,1076.6473524999997,1014.8018225,886.6431549999999,845.8061475
Ag,4,PBE0-TSHI,1036.3001075,980.54106,860.4814275000001,800.3221575000001
Ag,4,PBE0-MBDHI,1069.2935475000002,1006.6761899999999,880.465265,839.2363025000001
Ag,4,PBE0-MBDFI,1070.1279049999998,1006.7029125,879.8287075,839.1859374999999
Ag,4,HSE06,1031.0178175,976.9645375,861.6530650000001,798.1331949999999
Ag,4,HSE06-D4,1077.1301725,1016.4351375,892.5755399999999,847.5470549999999
Ag,4,B3LYP,953.6753525,925.9438425000001,844.8080775000001,733.4669000000001
Ag,4,B3LYP-D2,983.5791425,950.8899850000001,862.3789125000001,822.5613549999999
Ag,4,B3LYP-D30,978.7549225,948.7329900000001,862.2062075000001,781.7462975
Ag,4,B3LYP-D3,1069.1970724999999,1022.4944175000002,919.3481125000001,858.862505
Ag,4,B3LYP-D4,1251.914225,1186.83255,1065.7168800000002,1029.2757450000001
Ag,6,PBE,1437.2236149999999,1398.5652883333335,1322.1623583333333,1244.5365216666667
Ag,6,PBE-D2,1471.9896950000002,1444.4317633333333,1370.5973916666665,1289.1348983333335
Ag,6,PBE-DDSC,1475.9840966666663,1443.2601783333332,1371.854075,1283.7406633333333
Ag,6,PBE-D30,1462.18821,1430.008395,1348.8890766666668,1272.1383783333335
Ag,6,PBE-D3,1506.31976,1476.7294033333333,1405.7222616666668,1313.2699099999998
Ag,6,PBE-TS,1453.0157450000002,1420.6932100000001,1337.3771983333334,1262.2896816666666
Ag,6,PBE-TSHI,1452.7245466666668,1420.58289,1337.8125349999998,1261.5448483333334
Ag,6,PBE-D4,1511.945935,1483.3215816666668,1412.9265833333334,1318.9812633333333
Ag,6,PBE-MBDHI,1508.8803933333331,1479.7081749999998,1410.6786183333331,1315.906075
Ag,6,PBE-MBDFI,1502.6901816666666,1474.1354566666666,1405.3921883333335,1310.3990700000002
Ag,6,revPBE,1227.2218566666668,1180.83124,1094.655035,1037.699075
Ag,6,REVPBE-D30,1278.8085716666667,1250.0994249999999,1160.8843583333332,1098.5832666666665
