Metal,Method,Energy 1 (meV),Energy 2 (meV),Energy 3 (meV),Energy 4 (meV)
Cu,R2SCAN-D3,0.0,-111.05603999999403,1215.6283799999983,1430.4111599999487
Cu,R2SCAN-D4,0.0,-87.58594999994784,1180.5594600000404,1469.10524000009
Cu,R2SCAN-RVV10,0.0,-123.03382999994028,1210.6479599999602,1438.1415800000923
Cu,SCAN-rVV10,0.0,-108.95372999993924,1189.1444400000637,1497.8444299999865
Cu,PBE0,0.0,163.99004000004425,964.4185499998912,1539.0158000000156
Cu,PBE0-D30,0.0,67.1175200000107,1101.8416700001126,1367.8762100000768
Cu,PBE0-D3,0.0,-13.485559999935504,1147.9664200001025,1279.0657000000465
Cu,PBE0-D4,0.0,42.1949599999607,1078.537249999954,1376.2154400001236
Cu,PBE0-TSHI,0.0,75.52529999998114,1089.5051800000601,1365.8785200000239
Cu,HSE06,0.0,162.9388899998503,958.8712599997962,1525.5167699999674
Cu,HSE06-D4,0.0,44.78003000008357,1070.8194000001185,1367.696819999992
Cu,B3LYP,0.0,436.3001100000474,806.447720000051,1653.2908900001075
Cu,B3LYP-D2,0.0,128.417650000074,1067.128620000176,1074.346240000068
Cu,B3LYP-D2-Ne,0.0,128.417650000074,1067.128620000176,1074.346240000068
Cu,B3LYP-D30,0.0,281.9334399998752,1015.9273199999461,1386.7305900000702
Cu,B3LYP-D3,0.0,82.05790000010893,1120.8047899999656,1163.0358600000363
Cu,B3LYP-D4,0.0,-98.89343000008921,1111.9111099999373,1229.0453200000684
Cu,HF,0.0,584.2974317275635,513.8010974590959,1204.3069741014247
Cu,MP2,0.0,-24.353359066039722,1390.912712349149,1752.4232426662384
Cu,CCSD,0.0,154.84820597509386,1003.0460318693266,1377.5547799006665
Cu,CCSD(T),0.0,18.334648577871548,1123.7134732805812,1390.1557973465992
